Card ID,Card Name,Card URL,Card Description,Labels,Members,Due Date,Attachment Count,Attachment Links,Checklist Item Total Count,Checklist Item Completed Count,Vote Count,Comment Count,Last Activity Date,List ID,List Name,Board ID,Board Name,Archived,Start Date,Due Complete
643dd6a717b095f8aff101df,https://moody-apprentices.netlify.app/,https://trello.com/c/Wk1S8HIr/1-https-moody-apprenticesnetlifyapp,"[🥴 Moody 🥴](https://moody-apprentices.netlify.app/ ""‌"")",,,,1,https://trello.com/1/cards/643dd6a717b095f8aff101df/attachments/643dd6c2b6e28e60ddf3aa17/download/mood_meter.png,0,0,0,0,2023-05-07T23:18:39.333Z,645831cacb91118593e7b00e,Today we feel...,643dd6098fc6fd18c0849aee,Barrel of Apprentices - Daily Board,false,,false
652dc619beb8988054edfbd8,Joyful 🕹️🧇,https://trello.com/c/6R9CWSmx/252-joyful-%F0%9F%95%B9%EF%B8%8F%F0%9F%A7%87,,,,,0,,0,0,0,0,2023-10-16T23:24:16.862Z,645831cacb91118593e7b00e,Today we feel...,643dd6098fc6fd18c0849aee,Barrel of Apprentices - Daily Board,false,,false
652c78646111b1a9ac9990db,Nervous 😓,https://trello.com/c/7R6bKSc6/248-nervous-%F0%9F%98%93,,,,,0,,0,0,0,0,2023-10-15T23:40:29.681Z,645831cacb91118593e7b00e,Today we feel...,643dd6098fc6fd18c0849aee,Barrel of Apprentices - Daily Board,false,,false
652879e19705bad96d3a7d53,Calm 🍵,https://trello.com/c/nFDWE0Ew/244-calm-%F0%9F%8D%B5,,,,,0,,0,0,0,0,2023-10-12T22:57:54.444Z,645831cacb91118593e7b00e,Today we feel...,643dd6098fc6fd18c0849aee,Barrel of Apprentices - Daily Board,false,,false
65248bfd1f53f7fb6ddca727,Exhausted 🥱,https://trello.com/c/dcltPL7w/240-exhausted-%F0%9F%A5%B1,,,,,0,,0,0,0,0,2023-10-09T23:25:59.294Z,645831cacb91118593e7b00e,Today we feel...,643dd6098fc6fd18c0849aee,Barrel of Apprentices - Daily Board,false,,false
651f4345f12d4c78a56de78f,Pleasant 🌻,https://trello.com/c/YztogBuZ/237-pleasant-%F0%9F%8C%BB,,,,,0,,0,0,0,0,2023-10-05T23:14:21.830Z,645831cacb91118593e7b00e,Today we feel...,643dd6098fc6fd18c0849aee,Barrel of Apprentices - Daily Board,false,,false
651df3d4e6734688220004ca,At ease 😙,https://trello.com/c/1f5rEaYp/234-at-ease-%F0%9F%98%99,,,,,0,,0,0,0,0,2023-10-04T23:23:09.703Z,645831cacb91118593e7b00e,Today we feel...,643dd6098fc6fd18c0849aee,Barrel of Apprentices - Daily Board,false,,false
651b520da89f72fb81427178,Apathetic 🤨,https://trello.com/c/fqmH2Pk4/229-apathetic-%F0%9F%A4%A8,,,,,0,,0,0,0,0,2023-10-02T23:28:17.096Z,645831cacb91118593e7b00e,Today we feel...,643dd6098fc6fd18c0849aee,Barrel of Apprentices - Daily Board,false,,false
64e3f1af04336e666fe06968,Pleasant 🙂,https://trello.com/c/zEaJ7Xg0/205-pleasant-%F0%9F%99%82,,,,,0,,0,0,0,0,2023-08-21T23:22:41.618Z,645831cacb91118593e7b00e,Today we feel...,643dd6098fc6fd18c0849aee,Barrel of Apprentices - Daily Board,false,,false
64e29e2747dd8de3e9313b7d,Pleasant 👼,https://trello.com/c/aqClskSM/202-pleasant-%F0%9F%91%BC,,,,,0,,0,0,0,0,2023-08-21T23:22:28.474Z,645831cacb91118593e7b00e,Today we feel...,643dd6098fc6fd18c0849aee,Barrel of Apprentices - Daily Board,false,,false
